match,commence_time,logged_at_utc,submission_id,score,actual_score,predicted_probability,hit
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,3-4,1-1,0.00399114769553049,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,0-5,1-1,0.0014190747361886187,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,1-5,1-1,0.002128612104282928,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,2-5,1-1,0.001596459078212196,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,3-5,1-1,0.0014190747361886187,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,4-5,1-1,0.0012771672625697568,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,1-0,4-1,0.11800267401513066,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,2-0,4-1,0.09103063424024366,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,2-1,4-1,0.08222121802344588,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,3-0,4-1,0.04720106960605227,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,3-1,4-1,0.04248096264544704,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,3-2,4-1,0.02124048132272352,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,4-0,4-1,0.019912951240053302,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,4-1,4-1,0.0177004011022696,1
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,4-2,4-1,0.01062024066136176,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,4-3,4-1,0.00531012033068088,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,5-0,4-1,0.00980329907202624,0
