match,commence_time,logged_at_utc,submission_id,outcome,actual_outcome,predicted_probability,hit
Turkey vs Paraguay,2026-06-20T03:00:00Z,2026-06-19T00:20:00+00:00,conversation-turkey-paraguay-20260620,home,away,0.4561795066301536,0
Turkey vs Paraguay,2026-06-20T03:00:00Z,2026-06-19T00:20:00+00:00,conversation-turkey-paraguay-20260620,draw,away,0.2590990919672156,0
Turkey vs Paraguay,2026-06-20T03:00:00Z,2026-06-19T00:20:00+00:00,conversation-turkey-paraguay-20260620,away,away,0.2750474347571153,1
Netherlands vs Sweden,2026-06-20T17:00:00Z,2026-06-20T00:00:00+00:00,conversation-netherlands-sweden-20260620,home,home,0.5404967129839119,1
Netherlands vs Sweden,2026-06-20T17:00:00Z,2026-06-20T00:00:00+00:00,conversation-netherlands-sweden-20260620,draw,home,0.21670340709232933,0
Netherlands vs Sweden,2026-06-20T17:00:00Z,2026-06-20T00:00:00+00:00,conversation-netherlands-sweden-20260620,away,home,0.2244741610957274,0
Germany vs Ivory Coast,2026-06-20T20:00:00Z,2026-06-20T00:05:00+00:00,conversation-germany-ivory-coast-20260620,home,home,0.593652627353922,1
Germany vs Ivory Coast,2026-06-20T20:00:00Z,2026-06-20T00:05:00+00:00,conversation-germany-ivory-coast-20260620,draw,home,0.19599388776594556,0
Germany vs Ivory Coast,2026-06-20T20:00:00Z,2026-06-20T00:05:00+00:00,conversation-germany-ivory-coast-20260620,away,home,0.18540205208111107,0
Ecuador vs Curaçao,2026-06-21T00:00:00Z,2026-06-20T00:10:00+00:00,conversation-ecuador-curacao-20260621,home,draw,0.7591724560095993,0
Ecuador vs Curaçao,2026-06-21T00:00:00Z,2026-06-20T00:10:00+00:00,conversation-ecuador-curacao-20260621,draw,draw,0.10663732992004243,1
Ecuador vs Curaçao,2026-06-21T00:00:00Z,2026-06-20T00:10:00+00:00,conversation-ecuador-curacao-20260621,away,draw,0.06592758299329522,0
Tunisia vs Japan,2026-06-21T04:00:00Z,2026-06-20T00:15:00+00:00,conversation-tunisia-japan-20260621,home,away,0.1780472657677034,0
Tunisia vs Japan,2026-06-21T04:00:00Z,2026-06-20T00:15:00+00:00,conversation-tunisia-japan-20260621,draw,away,0.2256812482826875,0
Tunisia vs Japan,2026-06-21T04:00:00Z,2026-06-20T00:15:00+00:00,conversation-tunisia-japan-20260621,away,away,0.5834489990980493,1
Spain vs Saudi Arabia,2026-06-21T16:00:00Z,2026-06-21T00:00:00+00:00,conversation-spain-saudi-20260621,home,home,0.7558436147292811,1
Spain vs Saudi Arabia,2026-06-21T16:00:00Z,2026-06-21T00:00:00+00:00,conversation-spain-saudi-20260621,draw,home,0.08952215260925295,0
Spain vs Saudi Arabia,2026-06-21T16:00:00Z,2026-06-21T00:00:00+00:00,conversation-spain-saudi-20260621,away,home,0.06264657671083239,0
Belgium vs Iran,2026-06-21T19:00:00Z,2026-06-21T00:05:00+00:00,conversation-belgium-iran-20260621,home,draw,0.6348597870272727,0
Belgium vs Iran,2026-06-21T19:00:00Z,2026-06-21T00:05:00+00:00,conversation-belgium-iran-20260621,draw,draw,0.19772668817071012,1
Belgium vs Iran,2026-06-21T19:00:00Z,2026-06-21T00:05:00+00:00,conversation-belgium-iran-20260621,away,draw,0.14607611240949442,0
Uruguay vs Cape Verde,2026-06-21T22:00:00Z,2026-06-21T00:10:00+00:00,conversation-uruguay-cabo-verde-20260621,home,draw,0.6262388257549917,0
Uruguay vs Cape Verde,2026-06-21T22:00:00Z,2026-06-21T00:10:00+00:00,conversation-uruguay-cabo-verde-20260621,draw,draw,0.2172502922144843,1
Uruguay vs Cape Verde,2026-06-21T22:00:00Z,2026-06-21T00:10:00+00:00,conversation-uruguay-cabo-verde-20260621,away,draw,0.1424394193972172,0
New Zealand vs Egypt,2026-06-22T01:00:00Z,2026-06-21T00:15:00+00:00,conversation-new-zealand-egypt-20260621,home,away,0.18237359031740075,0
