match,commence_time,logged_at_utc,submission_id,score,actual_score,displayed_probability_pct,hit
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,3-4,4-1,0.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,0-5,4-1,0.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,1-5,4-1,0.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,2-5,4-1,0.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,3-5,4-1,0.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,4-5,4-1,0.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,1-0,1-1,1.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,2-0,1-1,1.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,2-1,1-1,1.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,3-0,1-1,1.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,3-1,1-1,0.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,3-2,1-1,0.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,4-0,1-1,1.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,4-1,1-1,0.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,4-2,1-1,0.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,4-3,1-1,0.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,5-0,1-1,0.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,5-1,1-1,0.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,5-2,1-1,0.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,5-3,1-1,0.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,5-4,1-1,0.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,0-0,1-1,4.0,0
