commence_time,match,selected_score,actual_score,outcome_correct,exact_score_correct,base_points,exact_bonus_points,realized_points,expected_points,realized_minus_expected,source
2026-06-20T17:00:00Z,Netherlands vs Sweden,2-1,5-1,True,False,67.0,0.0,67.0,38.866539514420936,28.133460485579064,nathan_pronos
2026-06-20T20:00:00Z,Germany vs Ivory Coast,1-1,2-1,False,False,0.0,0.0,0.0,31.050579639332252,-31.050579639332252,nathan_pronos
2026-06-21T00:00:00Z,Ecuador vs Curaçao,3-0,0-0,False,False,0.0,0.0,0.0,39.74953643927395,-39.74953643927395,nathan_pronos
2026-06-21T04:00:00Z,Tunisia vs Japan,0-2,0-4,True,False,91.0,0.0,91.0,60.43008717214983,30.569912827850168,nathan_pronos
2026-06-21T16:00:00Z,Spain vs Saudi Arabia,5-1,4-0,True,False,31.0,0.0,31.0,29.365448201610498,1.6345517983895022,nathan_pronos
2026-06-21T19:00:00Z,Belgium vs Iran,2-0,0-0,False,False,0.0,0.0,0.0,30.17432418633502,-30.17432418633502,nathan_pronos
2026-06-21T22:00:00Z,Uruguay vs Cape Verde,1-0,2-2,False,False,0.0,0.0,0.0,53.13170357943302,-53.13170357943302,nathan_pronos
2026-06-22T01:00:00Z,New Zealand vs Egypt,0-2,1-3,True,False,59.0,0.0,59.0,38.16555692978452,20.834443070215478,nathan_pronos
2026-06-22T17:00:00Z,Argentina vs Austria,2-1,2-0,True,False,63.0,0.0,63.0,40.553640280622346,22.446359719377654,nathan_pronos
2026-06-22T21:00:00Z,France vs Iraq,4-0,3-0,True,False,22.0,0.0,22.0,23.36320865040745,-1.3632086504074508,nathan_pronos
2026-06-23T00:00:00Z,Norway vs Senegal,0-1,3-2,False,False,0.0,0.0,0.0,46.60807006637924,-46.60807006637924,nathan_pronos
2026-06-23T03:00:00Z,Jordan vs Algeria,1-2,1-2,True,True,67.0,30.0,97.0,43.046734020279445,53.953265979720555,nathan_pronos
2026-06-23T17:00:00Z,Portugal vs Uzbekistan,2-0,5-0,True,False,24.0,0.0,24.0,23.64691047998611,0.3530895200138886,nathan_pronos
2026-06-23T20:00:00Z,England vs Ghana,2-0,0-0,False,False,0.0,0.0,0.0,41.38608644113056,-41.38608644113056,nathan_pronos
2026-06-23T23:00:00Z,Panama vs Croatia,0-2,0-1,True,False,36.0,0.0,36.0,23.970377492545868,12.029622507454132,nathan_pronos
2026-06-24T02:00:00Z,Colombia vs DR Congo,1-1,1-0,False,False,0.0,0.0,0.0,24.956368508219647,-24.956368508219647,nathan_pronos
2026-06-24T19:00:00Z,Switzerland vs Canada,1-1,2-1,False,False,0.0,0.0,0.0,33.04436581416237,-33.04436581416237,nathan_pronos
2026-06-24T19:00:00Z,Bosnia & Herzegovina vs Qatar,2-0,3-1,True,False,87.0,0.0,87.0,62.31975561184905,24.680244388150953,nathan_pronos
2026-06-24T22:01:00Z,Scotland vs Brazil,1-2,0-3,True,False,48.0,0.0,48.0,39.07526795988829,8.924732040111707,nathan_pronos
2026-06-24T22:00:00Z,Morocco vs Haiti,4-0,4-2,True,False,29.0,0.0,29.0,27.45213855939344,1.5478614406065603,nathan_pronos
2026-06-25T01:00:00Z,South Africa vs South Korea,1-4,1-0,False,False,0.0,0.0,0.0,52.41987945950791,-52.41987945950791,nathan_pronos
2026-06-25T01:00:00Z,Czech Republic vs Mexico,0-3,0-3,True,True,91.0,70.0,161.0,48.111095400259615,112.88890459974039,nathan_pronos
2026-06-25T20:00:00Z,Ecuador vs Germany,1-2,2-1,False,False,0.0,0.0,0.0,28.91982056990361,-28.91982056990361,nathan_pronos
2026-06-25T20:00:00Z,Curaçao vs Ivory Coast,0-2,0-2,True,True,53.0,20.0,73.0,47.53330383224879,25.46669616775121,nathan_pronos
2026-06-25T23:00:00Z,Tunisia vs Netherlands,0-2,1-3,True,False,56.0,0.0,56.0,54.909440641642064,1.090559358357936,nathan_pronos
2026-06-25T23:00:00Z,Japan vs Sweden,2-1,1-1,False,False,0.0,0.0,0.0,50.55621330620872,-50.55621330620872,nathan_pronos
2026-06-26T02:00:00Z,Turkey vs USA,0-2,3-2,False,False,0.0,0.0,0.0,48.0899315087972,-48.0899315087972,nathan_pronos
2026-06-26T02:00:00Z,Paraguay vs Australia,0-1,0-0,False,False,0.0,0.0,0.0,33.03978145117621,-33.03978145117621,nathan_pronos
