commence_time,match,strategy_snapshot,selected_score,actual_score,outcome_correct,exact_score_correct,selected_base_points,base_points,exact_bonus_points,realized_points,bookmaker_outcome_probability,bookmaker_exact_score_probability,bookmaker_conditional_bettor_share,bookmaker_nominal_bonus_label,bookmaker_nominal_bonus_points,bookmaker_expected_bonus_points,bookmaker_assessed_expected_points,original_compute_expected_points
2026-06-21T22:00:00Z,Uruguay vs Cape Verde,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260620T103039Z.csv,1-0,2-2,False,False,72.0,0.0,0.0,0.0,0.6471614225666821,0.13485151690252217,0.18571428571428572,Tres rare,50.0,48.468725489803305,53.13170357943302,51.63956636261447
2026-06-22T01:00:00Z,New Zealand vs Egypt,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260620T103039Z.csv,0-1,1-3,True,False,59.0,59.0,0.0,59.0,0.5920445475065977,0.12003830324293269,0.16417910447761194,Tres rare,50.0,49.99659143100729,40.93213430619753,40.997001948176525
2026-06-22T17:00:00Z,Argentina vs Austria,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260620T103039Z.csv,1-0,2-0,True,False,63.0,63.0,0.0,63.0,0.6031066963512742,0.11419277527150232,0.05555555555555555,Tres rare,50.0,55.78515365217461,44.36598338461928,44.83494614434622
2026-06-22T21:00:00Z,France vs Iraq,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260620T103039Z.csv,2-0,3-0,True,False,22.0,22.0,0.0,22.0,0.8804724656069886,0.11256878770497138,0.07865168539325842,Tres rare,50.0,50.04167873495169,25.003525353268905,27.106031794344304
2026-06-23T00:00:00Z,Norway vs Senegal,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260620T103039Z.csv,0-1,3-2,False,False,137.0,0.0,0.0,0.0,0.3165506179261636,0.06481215123299891,0.09090909090909091,Tres rare,50.0,50.000429685550515,46.60807006637924,47.20633138579163
2026-06-23T03:00:00Z,Jordan vs Algeria,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260620T103039Z.csv,0-1,1-2,True,False,67.0,67.0,0.0,67.0,0.6035061873837918,0.10519340184970188,0.12698412698412698,Tres rare,50.0,49.99999999999729,45.69458464719886,45.97750095406096
2026-06-23T17:00:00Z,Portugal vs Uzbekistan,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260620T103039Z.csv,2-0,5-0,True,False,24.0,24.0,0.0,24.0,0.8096297360807482,0.1301410095052346,0.21176470588235294,Rare,30.0,32.394068787967896,23.64691047998611,27.083341836265717
2026-06-23T20:00:00Z,England vs Ghana,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260620T103039Z.csv,1-0,0-0,False,False,44.0,0.0,0.0,0.0,0.7877642325587754,0.10815959689812789,0.03333333333333333,Mega rare,70.0,69.11329093849459,42.13689192079673,40.18857249372751
2026-06-23T23:00:00Z,Panama vs Croatia,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260620T103039Z.csv,1-1,0-1,False,False,123.0,0.0,0.0,0.0,0.23279284032389333,0.09413308432995228,0.42857142857142855,Exact,20.0,20.0,30.516181046437925,30.74379980845596
2026-06-24T02:00:00Z,Colombia vs DR Congo,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260620T103039Z.csv,1-0,1-0,True,True,77.0,77.0,50.0,127.0,0.6345581569594191,0.13447645028485147,0.06557377049180328,Tres rare,50.0,51.193809939661655,55.745339923118316,54.26937953100362
