match_number,match_date,stage,home_team,away_team,home_score,away_score,result,home_odds,draw_odds,away_odds,home_implied_probability,draw_implied_probability,away_implied_probability,overround,home_vig_free_probability,draw_vig_free_probability,away_vig_free_probability,source_date,source_stage,source_status,source_home_score,source_away_score,source_result,official_date,official_stage,official_home_score,official_away_score,official_result,date_mismatch,score_mismatch,source_file
55,2022-12-06,Round of 16,Morocco,Spain,0,0,draw,6.25,4.0,1.63,0.16,0.25,0.6134969325153374,1.0234969325153376,0.15632679973625846,0.24426062458790382,0.5994125756758376,2022-12-06,Play Offs,After Pen.,1,0,home,2022-12-06,Round of 16,0,0,draw,False,True,data/historical/odds_2022_unformatted.txt
56,2022-12-06,Round of 16,Portugal,Switzerland,6,1,home,2.0,3.7,4.6,0.5,0.27027027027027023,0.2173913043478261,0.9876615746180963,0.5062462819750149,0.2736466389054134,0.2201070791195717,2022-12-06,Play Offs,Finished,6,1,home,2022-12-06,Round of 16,6,1,home,False,False,data/historical/odds_2022_unformatted.txt
57,2022-12-09,Quarter-final,Croatia,Brazil,1,1,draw,9.0,4.8,1.42,0.1111111111111111,0.20833333333333334,0.7042253521126761,1.0236697965571206,0.10854194534683735,0.20351614752532007,0.6879419071278425,2022-12-09,Play Offs,After Pen.,2,1,home,2022-12-09,Quarter-final,1,1,draw,False,True,data/historical/odds_2022_unformatted.txt
58,2022-12-09,Quarter-final,Netherlands,Argentina,2,2,draw,3.8,3.15,2.23,0.2631578947368421,0.31746031746031744,0.4484304932735426,1.029048705470702,0.25572928991390137,0.308498825927881,0.43577188415821766,2022-12-09,Play Offs,After Pen.,2,3,away,2022-12-09,Quarter-final,2,2,draw,False,True,data/historical/odds_2022_unformatted.txt
59,2022-12-10,Quarter-final,England,France,1,2,away,3.0,3.15,2.75,0.3333333333333333,0.31746031746031744,0.36363636363636365,1.0144300144300145,0.3285917496443812,0.31294452347083923,0.3584637268847795,2022-12-10,Play Offs,Finished,1,2,away,2022-12-10,Quarter-final,1,2,away,False,False,data/historical/odds_2022_unformatted.txt
60,2022-12-10,Quarter-final,Morocco,Portugal,1,0,home,6.5,3.95,1.63,0.15384615384615385,0.2531645569620253,0.6134969325153374,1.0205076433235165,0.15075453364084435,0.2480770806748071,0.6011683856843486,2022-12-10,Play Offs,Finished,1,0,home,2022-12-10,Quarter-final,1,0,home,False,False,data/historical/odds_2022_unformatted.txt
61,2022-12-13,Semi-final,Argentina,Croatia,3,0,home,2.02,3.15,4.9,0.49504950495049505,0.31746031746031744,0.2040816326530612,1.0165914550638737,0.486969964664311,0.3122791519434629,0.20075088339222613,2022-12-13,Play Offs,Finished,3,0,home,2022-12-13,Semi-final,3,0,home,False,False,data/historical/odds_2022_unformatted.txt
62,2022-12-14,Semi-final,France,Morocco,2,0,home,1.65,4.0,6.75,0.6060606060606061,0.25,0.14814814814814814,1.0042087542087543,0.603520536462699,0.24895222129086333,0.14752724224643754,2022-12-14,Play Offs,Finished,2,0,home,2022-12-14,Semi-final,2,0,home,False,False,data/historical/odds_2022_unformatted.txt
63,2022-12-17,Play-off for third place,Croatia,Morocco,2,1,home,2.28,3.55,3.15,0.4385964912280702,0.28169014084507044,0.31746031746031744,1.0377469495334581,0.4226430069731844,0.2714439594081297,0.3059130336186858,2022-12-17,Play Offs,Finished,2,1,home,2022-12-17,Play-off for third place,2,1,home,False,False,data/historical/odds_2022_unformatted.txt
64,2022-12-18,Final,Argentina,France,3,3,draw,2.7,3.15,2.88,0.37037037037037035,0.31746031746031744,0.3472222222222222,1.03505291005291,0.35782747603833864,0.30670926517571884,0.3354632587859425,2022-12-18,Play Offs,After Pen.,4,3,home,2022-12-18,Final,3,3,draw,False,True,data/historical/odds_2022_unformatted.txt
